name/name,isomeric_smiles,Model,BetaT,GammaT,BetaV,GammaV
R23/Isobutane                                             [R23/C4I],C(F)(F)F.CC(C)C,XR0,1,0.904092,1,1.0362036
R23/Butane                                                [R23/C4],C(F)(F)F.CCCC,XR0,1.024338277,0.89836,1,1
R23/R114                                                  [R23/R114],C(F)(F)F.C(C(F)(F)Cl)(F)(F)Cl,XR0,1,0.9415606,1,1.052161
R23/R11                                                   [R23/R11],C(F)(F)F.C(F)(Cl)(Cl)Cl,XR0,1,0.9362767,1,1.0321197
R23/Isopentane                                            [R23/C5I],C(F)(F)F.CCC(C)C,XR0,1.029261916,0.93001,1,1
R23/Pentane                                               [R23/C5],C(F)(F)F.CCCCC,XR0,1.034960982,0.94007,1,1
R23/R113                                                  [R23/R113],C(F)(F)F.C(C(Cl)(Cl)Cl)(F)(F)F,XR0,1,0.9469168,1,1.0698503
R23/Ethanol                                               [R23/ETO],C(F)(F)F.CCO,XR0,1.104764851,1.05138,1,1
R23/Toluene                                               [R23/TOL],C(F)(F)F.CC1=CC=CC=C1,XR0,0.969090002,1.07054,1,1
R13/Propylene                                             [R13/PRY],C(F)(F)(F)Cl.CC=C,XR0,1,0.9573813,1,1.0000414
R13/Ammonia                                               [R13/NH3],C(F)(F)(F)Cl.N,XR0,0.962843856,0.76464,1,1
R13/R12                                                   [R13/R12],C(F)(F)(F)Cl.C(F)(F)(Cl)Cl,XR0,1,0.9876934,1,1.0026221
R13/Isobutane                                             [R13/C4I],C(F)(F)(F)Cl.CC(C)C,XR0,1.004490071,0.98045,1,1
R13/Butane                                                [R13/C4],C(F)(F)(F)Cl.CCCC,XR0,1.00270731,0.98279,1,1
R13/R11                                                   [R13/R11],C(F)(F)(F)Cl.C(F)(Cl)(Cl)Cl,XR0,1,1.0143855,1,1.0087681
R13/R113                                                  [R13/R113],C(F)(F)(F)Cl.C(C(F)(Cl)Cl)(F)(F)Cl,XR0,1,1.0452965,1,1.0322528
Carbon dioxide/R116                                       [CO2/R116],C(=O)=O.C(C(F)(F)F)(F)(F)F,XR0,1.03808,0.89857,1,1
Carbon dioxide/R32                                        [CO2/R32],C(=O)=O.C(F)F,XR0,1,0.9978225,1,1.0058521
Carbon dioxide/Carbonyl sulfide                           [CO2/COS],C(=O)=O.C(=O)=S,XR0,1.00023,0.9445,1,1
Carbon dioxide/R125                                       [CO2/R125],C(=O)=O.C(C(F)(F)F)(F)F,XR0,1.0115,0.96741,1,1
Carbon dioxide/R143a                                      [CO2/R143A],C(=O)=O.CC(F)(F)F,XR0,1.02027,0.98474,1,1
Carbon dioxide/R22                                        [CO2/R22],C(=O)=O.C(F)(F)Cl,XR0,1,1.0037903,1,1.0261472
Carbon dioxide/R1216                                      [CO2/R1216],C(=O)=O.C(=C(F)F)(C(F)(F)F)F,XR0,1.005,0.99,1,1
Carbon dioxide/R12                                        [CO2/R12],C(=O)=O.C(F)(F)(Cl)Cl,XR0,1.01811,0.9576,1,1
Carbon dioxide/R134a                                      [CO2/R134A],C(=O)=O.C(C(F)(F)F)F,XR0,1,1.008,1,1
Carbon dioxide/Dimethyl ether                             [CO2/DME],C(=O)=O.COC,XR0,1,1.028,1,1.0194
Carbon dioxide/R152a                                      [CO2/R152A],C(=O)=O.CC(F)F,XR0,1.00224,1.00646,1,1
Carbon dioxide/R227ea                                     [CO2/R227EA],C(=O)=O.C(C(F)(F)F)(C(F)(F)F)F,XR0,1.00608,1.00235,1,1
Carbon dioxide/R124                                       [CO2/R124],C(=O)=O.C(C(F)(F)F)(F)Cl,XR0,0.99517,1.01028,1,1
Carbon dioxide/Sulfur dioxide                             [CO2/SO2],C(=O)=O.O=S=O,XR0,1.020063,1.0079753,0.889865,1.0057783
Carbon dioxide/R142b                                      [CO2/R142B],C(=O)=O.CC(F)(F)Cl,XR0,1,0.9888,1,1.0626246
Carbon dioxide/Butene                                     [CO2/1BE],C(=O)=O.CCC=C,XR0,1.0199,0.968,1,1
Carbon dioxide/Perfluorobutane                            [CO2/C4F10],C(=O)=O.C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,XR0,1.0416341,0.95201,1,1
Carbon dioxide/Neopentane                                 [CO2/C5A],C(=O)=O.CC(C)(C)C,XR0,1.0573,0.9567,1,1.0801
Carbon dioxide/R123                                       [CO2/R123],C(=O)=O.C(C(F)(F)F)(Cl)Cl,XR0,0.98639,1.05886,1,1
Carbon dioxide/Diethyl ether                              [CO2/DEE],C(=O)=O.CCOCC,XR0,1.01217,1.03241,1,1
Carbon dioxide/Novec649                                   [CO2/N649],C(=O)=O.C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,XR0,1.04359,1.03509,1,1
Carbon dioxide/Cyclopentane                               [CO2/CC5],C(=O)=O.C1CCCC1,XR0,1.0223,0.9782,1,1.045
Carbon dioxide/Methylcyclohexane                          [CO2/C1CC6],C(=O)=O.CC1CCCCC1,XR0,1.024,1.016,1,1
Carbon dioxide/Ethylbenzene                               [CO2/EBE],C(=O)=O.CCC1=CC=CC=C1,XR0,1.00091,1.09145,1,1
Carbon dioxide/p-Xylene                                   [CO2/XYP],C(=O)=O.CC1=CC=C(C=C1)C,XR0,1.0034,1.1043,1,1
Carbon dioxide/o-Xylene                                   [CO2/XYO],C(=O)=O.CC1=CC=CC=C1C,XR0,1.00114,1.10292,1,1
Carbon dioxide/Undecane                                   [CO2/C11],C(=O)=O.CCCCCCCCCCC,XR0,1.0061476,1.19119,1,1
Carbon dioxide/Methyl stearate                            [CO2/MSTRT],C(=O)=O.CCCCCCCCCCCCCCCCCC(=O)OC,XR0,0.90151,1.45262,1,1
R41/R40                                                   [R41/R40],CF.CCl,XR0,1.004843345,0.9981,1,1
R41/Toluene                                               [R41/TOL],CCl.CC1=CC=CC=C1,XR0,0.975390032,1.09707,1,1
R116/Propylene                                            [R116/PRY],C(C(F)(F)F)(F)(F).CC=C,XR0,0.986183568,0.87937,1,1
R116/R143a                                                [R116/R143A],C(C(F)(F)F)(F)(F).CC(F)(F)F,XR0,1.01003,0.93499,1,1
R116/Propane                                              [R116/C3],C(C(F)(F)F)(F)(F).CCC,XR0,0.983661384,0.89173,1,1
R116/R22                                                  [R116/R22],C(C(F)(F)F)(F)(F).C(F)(F)Cl,XR0,0.99670996,0.91302,1,1
R116/R134a                                                [R116/R134A],C(C(F)(F)F)(F)(F)F.C(C(F)(F)F)F,XR0,1,0.942852,1,1.0010759
Sulfur hexafluoride/R32                                   [SF6/R32],FS(F)(F)(F)(F)F.C(F)F,XR0,1.0017029,0.86502,1,1
Sulfur hexafluoride/Propane                               [SF6/C3],FS(F)(F)(F)(F)F.CCC,XR0,0.99088485,0.89338144,1.007559213,1.0150842
Sulfur hexafluoride/Pentane                               [SF6/C5],FS(F)(F)(F)(F)F.CCCCC,XR0,1.041666667,0.9293,1,1.0605
Sulfur hexafluoride/R113                                  [SF6/R113],FS(F)(F)(F)(F)F.C(C(F)(Cl)Cl)(F)(F)Cl,XR0,0.9296359,1.06961,1,1
Hydrogen sulfide/Carbonyl sulfide                         [H2S/COS],S.C(=O)=S,XR0,1,0.9442,1,1
Hydrogen sulfide/Neopentane                               [H2S/C5A],S.CC(C)(C)C,XR0,1.025479999,0.93089,1,1
Hydrogen sulfide/Acetone                                  [H2S/ACT],S.CC(=O)C,XR0,1.042122595,1.04871,1,1
Hydrogen sulfide/Methanol                                 [H2S/MEO],S.CO,XR0,1,1.042,1,1
Hydrogen sulfide/Benzene                                  [H2S/BEN],S.C1=CC=CC=C1,XR0,0.994,1.06,1,1
Hydrogen sulfide/Cyclohexane                              [H2S/CC6],S.C1CCCCC1,XR0,1.011,1.0138,1,1
Hydrogen sulfide/Isooctane                                [H2S/C8I],S.CC(C)CC(C)(C)C,XR0,1.022960031,1.01015,1,1
Hydrogen sulfide/Methylcyclohexane                        [H2S/C1CC6],S.CC1CCCCC1,XR0,1.012,1.017,1,1
Hydrogen sulfide/Toluene                                  [H2S/TOL],S.CC1=CC=CC=C1,XR0,1,1.075,1,1
Hydrogen sulfide/Octane                                   [H2S/C8],S.CCCCCCCC,XR0,1,1.086557826,1,1.082905109
Hydrogen sulfide/m-Xylene                                 [H2S/XYM],S.CC1=CC(=CC=C1)C,XR0,0.972370009,1.10582,1,1
Hydrogen sulfide/Propylcyclohexane                        [H2S/C3CC6],S.CCCC1CCCCC1,XR0,0.995767986,1.10114,1,1
Hydrogen sulfide/Ethylene glycol                          [H2S/EGLY],S.C(CO)O,XR0,0.9877,1.1981,1,1
R32/Propylene                                             [R32/PRY],C(F)F.CC=C,XR0,1.003673445,0.90627,1,1
R32/R143a                                                 [R32/R143A],C(F)F.CC(F)(F)F,XR0,1,0.9748252,1,1.0178106
R32/Propane                                               [R32/C3],C(F)F.CCC,XR0,1,0.8616194,1,1.0198058
R32/R22                                                   [R32/R22],C(F)F.C(F)(F)Cl,XR0,1,0.9933028,1,1.0073196
R32/R115                                                  [R32/R115],C(F)F.C(C(F)(F)Cl)(F)(F)F,XR0,1,0.8807734,1,1.0424065
R32/R161                                                  [R32/R161],C(F)F.CCF,XR0,0.9976157,0.98909,1,1
R32/R12                                                   [R32/R12],C(F)F.C(F)(F)(Cl)Cl,XR0,1,0.9032201,1,1.0256397
R32/Dimethyl ether                                        [R32/DME],C(F)F.COC,XR0,1,1.0255,1,0.8321
R32/R152a                                                 [R32/R152A],C(F)F.CC(F)F,XR0,1,0.9975547,1,1.0120247
R32/R227ea                                                [R32/R227EA],C(F)F.C(C(F)(F)F)(C(F)(F)F)F,XR0,1,0.9573075,1,1.0589568
