BetaT,GammaT,BetaV,GammaV,SMILES_part1,SMILES_part2
1.0023,1.035,1.0,1.0,CCC,C1CCCCC1
1.0,1.06,1.0,1.0,CCC,CC1CCCCC1
0.9965519,1.08363,1.0,1.0,CCC,Cc1cccc(C)c1
0.9948665,1.10943,1.0,1.0,CCC,CCCC1CCCCC1
1.0,1.19,1.0,1.0,CCC,CCCCCCCCCCCC
0.9215401,1.21332,1.0,1.0,CCC,CCCCCCCCCCCCCCCC(=O)OC
1.0,0.8866968,1.0,1.0293533,FC(F)Cl,FC(F)(F)C(F)(F)C(F)(F)F
1.0040866,0.96186,1.0,1.0,FC(F)Cl,FC(F)=C(F)C(F)(F)F
1.0,0.9701504,1.0,1.0056117,FC(F)Cl,FC(F)(Cl)Cl
1.0,0.9907541,1.0,1.0032063,FC(F)Cl,FCC(F)(F)F
0.985309042,1.07125,1.0,1.0,FC(F)Cl,COC
1.0,1.0004273,1.0,1.0126149,FC(F)Cl,FC(Cl)C(F)(F)F
1.0,1.0050317,1.0,1.0080566,FC(F)Cl,FC(F)(Cl)Br
1.05268,0.96966,1.0,1.0,FC(F)Cl,FC1(F)C(F)(F)C(F)(F)C1(F)F
1.0,0.9751865,1.0,1.0137561,FC(F)Cl,FC(Cl)(Cl)Cl
1.005207,1.01277,1.0,1.0,FC(F)Cl,FC(F)(F)C(Cl)Cl
1.0,0.9569485,1.0,1.0331871,FC(F)Cl,CCCCC
1.0,0.977445,1.0,1.0412243,FC(F)Cl,FC(F)Cl
0.95551139,1.07981,1.0,1.0,FC(F)Cl,CC(C)=O
0.997386846,1.03751,1.0,1.0,FC(F)Cl,CO
1.010866818,0.99579,1.0,1.0,FC(F)Cl,CCCCCC
1.006309561,1.05058,1.0,1.0,FC(F)Cl,CCO
0.989511181,1.03496,1.0,1.0,FC(F)Cl,c1ccccc1
1.009142834,0.97638,1.0,1.0,FC(F)Cl,C1CCCCC1
1.0,1.0008497,1.0,1.0021192,FC(F)(F)C(F)(F)Cl,FC(F)(Cl)C(F)(F)Cl
1.0021948,0.98828,1.0,1.0,CCF,C=C(F)C(F)(F)F
0.998991019,1.00619,1.0,1.0,CCF,FCC(F)(F)F
1.0,0.9201114,1.0,1.0132426,FC(F)(F)C(F)(F)C(F)(F)F,FCC(F)(F)F
1.0,0.8968592,1.0,1.0018693,FC(F)(F)C(F)(F)C(F)(F)F,CC(C)C
1.00386,1.04248,1.0,1.0,FC(F)(F)C(F)(F)C(F)(F)F,FC1(F)C(F)(F)C(F)(F)C1(F)F
1.055547,0.935232,1.0,1.0,N,FCC(F)(F)F
1.006960007,0.94154,1.0,1.0,N,C#CC
1.048657718,0.7986,1.0,1.0,N,CC(C)C
1.055631796,0.8067,1.0,1.0,N,CCCC
1.10619469,0.8385,1.0,1.0,N,CCC(C)C
1.161980014,0.8702,1.0,1.0,N,CCCCC
0.987,1.117,1.0,1.0,N,CO
1.130454443,0.8776,1.0,1.0,N,CCCCCC
1.0,1.101,1.0,1.0,N,CCO
1.029654036,0.9299,1.0,1.0,N,c1ccccc1
1.178828245,0.9726,1.0,1.0,N,CCCCCCC
1.231678778,1.0676,1.0,1.0,N,CCCCCCCC
1.042500015,0.95719,1.0,1.0,N,Cc1cccc(C)c1
